DATE	BULLISH
2013+AC0-10+AC0-02 00:00:00	1.32
2013+AC0-10+AC0-03 00:00:00	1.06
2013+AC0-10+AC0-04 00:00:00	1.37
2013+AC0-10+AC0-07 00:00:00	1.32
2013+AC0-10+AC0-08 00:00:00	1
2013+AC0-10+AC0-09 00:00:00	1.2
2013+AC0-10+AC0-10 00:00:00	1.13
2013+AC0-10+AC0-11 00:00:00	1.27
2013+AC0-10+AC0-14 00:00:00	1.3
2013+AC0-10+AC0-15 00:00:00	1.41
2013+AC0-10+AC0-16 00:00:00	1.3
2013+AC0-10+AC0-17 00:00:00	1.5
2013+AC0-10+AC0-18 00:00:00	1.41
2013+AC0-10+AC0-21 00:00:00	1.49
2013+AC0-10+AC0-22 00:00:00	1.3
2013+AC0-10+AC0-23 00:00:00	1.31
2013+AC0-10+AC0-24 00:00:00	1.46
2013+AC0-10+AC0-25 00:00:00	1.29
2013+AC0-10+AC0-28 00:00:00	1.49
2013+AC0-10+AC0-29 00:00:00	1.23
2013+AC0-10+AC0-30 00:00:00	1.2
2013+AC0-10+AC0-31 00:00:00	1.16
