DATE,SYMBOL,BULLISH,BEARISH
2013-05-03 00:00:00,AAPL,0.0,2.33
2013-05-03 00:10:00,AAPL,0.32,0.0
2013-05-03 00:15:00,AAPL,1.4,0.0
2013-05-03 00:20:00,AAPL,0.0,2.23
2013-05-03 00:25:00,AAPL,1.05,0.0
2013-05-03 00:35:00,AAPL,0.93,0.0
2013-05-03 00:40:00,AAPL,0.0,2.11
2013-05-03 01:20:00,AAPL,0.055,1.055
2013-05-03 01:25:00,AAPL,3.0,0.0
2013-05-03 02:05:00,AAPL,2.2,0.0
2013-05-03 03:20:00,AAPL,0.04,0.0
2013-05-03 03:45:00,AAPL,0.13,0.0
2013-05-03 04:10:00,AAPL,2.01,0.0
2013-05-03 04:55:00,AAPL,2.39,0.0
2013-05-03 05:00:00,AAPL,2.47,0.0
2013-05-03 05:30:00,AAPL,0.32,0.0
2013-05-03 05:40:00,AAPL,1.29,0.0
2013-05-03 05:50:00,AAPL,0.0,2.39
2013-05-03 06:35:00,AAPL,0.7,0.0
2013-05-03 07:25:00,AAPL,2.0,0.0
2013-05-03 07:35:00,AAPL,0.19,0.0
2013-05-03 08:00:00,AAPL,1.93,0.0
2013-05-03 08:05:00,AAPL,1.84,0.0
2013-05-03 08:10:00,AAPL,0.0,1.7
2013-05-03 08:20:00,AAPL,0.0,1.7
2013-05-03 08:25:00,AAPL,1.2,0.0
2013-05-03 08:30:00,AAPL,2.4,0.0
2013-05-03 08:35:00,AAPL,0.0,1.29
2013-05-03 08:40:00,AAPL,2.13,0.11
2013-05-03 08:45:00,AAPL,0.11,1.76
2013-05-03 08:50:00,AAPL,1.957,0.0
2013-05-03 08:55:00,AAPL,1.815,0.0
2013-05-03 09:00:00,AAPL,1.91,0.333
2013-05-03 09:05:00,AAPL,1.685,0.0
2013-05-03 09:10:00,AAPL,1.2,0.0
2013-05-03 09:15:00,AAPL,0.44,0.0
2013-05-03 09:20:00,AAPL,0.65,0.247
2013-05-03 09:25:00,AAPL,1.2,0.695
2013-05-03 09:30:00,AAPL,1.51,0.625
2013-05-03 09:35:00,AAPL,1.805,0.0
2013-05-03 09:40:00,AAPL,1.76,0.94
2013-05-03 09:45:00,AAPL,1.575,0.905
2013-05-03 09:50:00,AAPL,1.593,1.27
2013-05-03 09:55:00,AAPL,0.98,1.7
2013-05-03 10:00:00,AAPL,1.123,1.187
2013-05-03 10:05:00,AAPL,1.455,2.09
2013-05-03 10:10:00,AAPL,1.62,0.533
2013-05-03 10:15:00,AAPL,2.33,0.0
2013-05-03 10:20:00,AAPL,1.847,1.647
2013-05-03 10:25:00,AAPL,0.995,2.29
2013-05-03 10:30:00,AAPL,1.983,0.367
2013-05-03 10:35:00,AAPL,1.88,0.565
2013-05-03 10:40:00,AAPL,2.013,0.943
2013-05-03 10:45:00,AAPL,0.55,1.22
2013-05-03 10:50:00,AAPL,0.573,0.493
2013-05-03 10:55:00,AAPL,1.97,1.415
2013-05-03 11:00:00,AAPL,1.89,1.305
2013-05-03 11:10:00,AAPL,2.213,1.807
2013-05-03 11:15:00,AAPL,1.355,0.585
2013-05-03 11:20:00,AAPL,1.95,0.99
2013-05-03 11:25:00,AAPL,1.35,0.195
2013-05-03 11:30:00,AAPL,0.71,0.72
2013-05-03 11:35:00,AAPL,1.91,1.29
2013-05-03 11:40:00,AAPL,2.063,1.233
2013-05-03 11:45:00,AAPL,1.53,0.98
2013-05-03 11:50:00,AAPL,1.65,0.0
2013-05-03 11:55:00,AAPL,1.275,1.415
2013-05-03 12:00:00,AAPL,1.1,0.0
2013-05-03 12:05:00,AAPL,0.95,0.625
2013-05-03 12:10:00,AAPL,1.043,0.443
2013-05-03 12:15:00,AAPL,1.7,0.0
2013-05-03 12:20:00,AAPL,1.993,0.5
2013-05-03 12:25:00,AAPL,1.92,0.2
2013-05-03 12:30:00,AAPL,1.97,1.225
2013-05-03 12:35:00,AAPL,0.0,0.28
2013-05-03 12:40:00,AAPL,2.15,0.0
2013-05-03 12:45:00,AAPL,2.04,1.0
2013-05-03 12:50:00,AAPL,1.677,0.0
2013-05-03 12:55:00,AAPL,1.45,0.0
2013-05-03 13:00:00,AAPL,2.39,0.575
2013-05-03 13:05:00,AAPL,1.145,0.985
2013-05-03 13:10:00,AAPL,1.287,1.503
2013-05-03 13:15:00,AAPL,1.11,0.0
2013-05-03 13:20:00,AAPL,1.853,0.89
2013-05-03 13:25:00,AAPL,0.0,2.67
2013-05-03 13:30:00,AAPL,1.0,2.425
2013-05-03 13:35:00,AAPL,1.4,0.0
2013-05-03 13:40:00,AAPL,1.337,0.507
2013-05-03 13:45:00,AAPL,1.61,2.065
2013-05-03 13:50:00,AAPL,2.215,0.195
2013-05-03 13:55:00,AAPL,2.0,0.39
2013-05-03 14:00:00,AAPL,1.383,1.623
2013-05-03 14:05:00,AAPL,1.76,0.0
2013-05-03 14:10:00,AAPL,1.077,2.047
2013-05-03 14:20:00,AAPL,2.39,0.0
2013-05-03 14:25:00,AAPL,0.89,1.67
2013-05-03 14:30:00,AAPL,0.0,2.26
2013-05-03 14:35:00,AAPL,2.16,0.0
2013-05-03 14:40:00,AAPL,2.45,0.0
2013-05-03 14:45:00,AAPL,1.99,1.4
