DATE,SYMBOL,BULLISH,BEARISH
2013-05-03 01:50:00,FB,1.78,0.0
2013-05-03 04:05:00,FB,1.04,0.0
2013-05-03 04:50:00,FB,2.68,0.0
2013-05-03 07:50:00,FB,0.0,1.73
2013-05-03 07:55:00,FB,0.0,2.85
2013-05-03 08:00:00,FB,1.04,0.0
2013-05-03 08:20:00,FB,1.98,0.0
2013-05-03 08:30:00,FB,2.4,0.0
2013-05-03 08:40:00,FB,2.2,0.0
2013-05-03 08:45:00,FB,3.0,0.0
2013-05-03 09:00:00,FB,0.24,0.0
2013-05-03 09:05:00,FB,2.55,0.0
2013-05-03 09:10:00,FB,2.28,0.0
2013-05-03 09:15:00,FB,1.48,0.0
2013-05-03 09:20:00,FB,0.0,1.39
2013-05-03 09:25:00,FB,1.15,0.0
2013-05-03 09:30:00,FB,0.0,2.195
2013-05-03 09:35:00,FB,0.0,2.56
2013-05-03 09:40:00,FB,0.0,2.24
2013-05-03 09:45:00,FB,1.0,0.0
2013-05-03 09:55:00,FB,1.0,0.0
2013-05-03 10:00:00,FB,0.1,0.0
2013-05-03 10:05:00,FB,1.3,0.0
2013-05-03 10:15:00,FB,0.0,0.35
2013-05-03 10:20:00,FB,2.335,0.0
2013-05-03 10:25:00,FB,1.035,0.0
2013-05-03 10:30:00,FB,1.21,0.705
2013-05-03 10:35:00,FB,0.0,1.82
2013-05-03 10:45:00,FB,2.53,0.0
2013-05-03 11:05:00,FB,0.0,1.7
2013-05-03 11:15:00,FB,0.0,1.78
2013-05-03 11:20:00,FB,1.3,0.0
2013-05-03 11:45:00,FB,0.13,0.0
2013-05-03 11:55:00,FB,2.35,0.0
2013-05-03 12:00:00,FB,1.11,1.195
2013-05-03 12:20:00,FB,1.17,0.0
2013-05-03 12:30:00,FB,1.95,0.0
2013-05-03 12:35:00,FB,0.11,0.0
2013-05-03 12:40:00,FB,0.0,0.61
2013-05-03 12:50:00,FB,1.167,0.35
2013-05-03 13:00:00,FB,1.25,0.0
2013-05-03 13:05:00,FB,0.0,1.76
