DATE,SYMBOL,BULLISH,BEARISH
2013-05-03 00:05:00,GLD,0.0,0.0
2013-05-03 06:20:00,GLD,0.0,1.39
2013-05-03 07:05:00,GLD,0.0,2.39
2013-05-03 07:25:00,GLD,0.88,0.0
2013-05-03 07:40:00,GLD,1.24,0.0
2013-05-03 08:10:00,GLD,0.0,0.49
2013-05-03 08:15:00,GLD,0.0,1.9
2013-05-03 08:25:00,GLD,2.45,0.0
2013-05-03 08:35:00,GLD,0.0,0.66
2013-05-03 08:40:00,GLD,0.975,0.0
2013-05-03 09:00:00,GLD,1.5,0.0
2013-05-03 09:20:00,GLD,0.0,2.22
2013-05-03 09:25:00,GLD,2.67,0.0
2013-05-03 09:50:00,GLD,1.245,1.61
2013-05-03 10:00:00,GLD,0.205,1.61
2013-05-03 10:15:00,GLD,2.48,0.0
2013-05-03 10:20:00,GLD,0.75,0.0
2013-05-03 10:30:00,GLD,2.0,0.0
2013-05-03 11:35:00,GLD,0.0,2.81
2013-05-03 11:50:00,GLD,1.18,0.0
2013-05-03 11:55:00,GLD,2.8,0.0
2013-05-03 12:00:00,GLD,2.2,0.0
2013-05-03 13:10:00,GLD,0.0,0.92
2013-05-03 13:15:00,GLD,0.0,3.24
2013-05-03 13:40:00,GLD,0.94,0.0
2013-05-03 15:05:00,GLD,1.19,0.0
2013-05-03 15:35:00,GLD,2.335,0.0
2013-05-03 15:40:00,GLD,0.0,0.75
2013-05-03 16:10:00,GLD,1.11,0.0
2013-05-03 19:00:00,GLD,0.85,0.0
2013-05-03 20:20:00,GLD,0.0,0.0
2013-05-03 22:10:00,GLD,0.0,0.0
2013-05-03 23:50:00,GLD,0.0,1.44
2013-05-04 05:40:00,GLD,1.57,0.0
2013-05-04 09:20:00,GLD,0.0,2.56
2013-05-04 16:30:00,GLD,0.0,2.42
2013-05-05 02:20:00,GLD,1.75,0.0
2013-05-05 05:00:00,GLD,2.89,0.0
2013-05-05 06:25:00,GLD,0.0,2.0
2013-05-05 11:05:00,GLD,2.49,0.0
2013-05-05 11:50:00,GLD,0.05,0.0
2013-05-05 13:35:00,GLD,0.0,0.7
2013-05-05 16:35:00,GLD,1.5,0.0
2013-05-05 17:55:00,GLD,2.65,0.0
2013-05-05 20:40:00,GLD,1.83,0.0
2013-05-05 20:45:00,GLD,0.64,0.0
2013-05-05 21:25:00,GLD,0.52,0.0
2013-05-05 21:40:00,GLD,2.0,0.0
2013-05-05 22:25:00,GLD,1.53,0.0
2013-05-05 22:30:00,GLD,1.87,0.0
2013-05-05 22:40:00,GLD,1.27,0.0
2013-05-05 22:45:00,GLD,0.0,1.89
2013-05-05 23:10:00,GLD,1.77,0.0
2013-05-06 00:50:00,GLD,0.0,0.83
2013-05-06 08:00:00,GLD,0.0,1.89
2013-05-06 08:15:00,GLD,1.9,0.0
2013-05-06 08:35:00,GLD,0.8,0.0
2013-05-06 08:50:00,GLD,1.5,0.0
2013-05-06 09:05:00,GLD,0.0,1.67
2013-05-06 09:55:00,GLD,0.0,1.63
2013-05-06 10:00:00,GLD,0.0,2.75
2013-05-06 10:05:00,GLD,0.0,1.23
2013-05-06 10:15:00,GLD,2.2,0.0
2013-05-06 10:40:00,GLD,0.0,1.78
2013-05-06 10:55:00,GLD,0.29,0.0
2013-05-06 11:00:00,GLD,0.0,0.27
2013-05-06 11:20:00,GLD,1.715,0.0
2013-05-06 11:30:00,GLD,2.6,0.0
2013-05-06 11:45:00,GLD,0.0,2.8
2013-05-06 12:20:00,GLD,0.0,1.37
2013-05-06 12:40:00,GLD,0.0,2.0
2013-05-06 12:50:00,GLD,0.0,0.8
2013-05-06 13:00:00,GLD,1.85,0.0
2013-05-06 14:05:00,GLD,0.0,0.58
2013-05-06 14:30:00,GLD,1.52,0.0
2013-05-06 14:45:00,GLD,0.0,1.17
2013-05-06 15:50:00,GLD,0.0,2.06
2013-05-06 16:10:00,GLD,0.72,0.0
2013-05-06 16:25:00,GLD,1.1,0.0
2013-05-06 16:30:00,GLD,0.57,0.0
2013-05-06 16:35:00,GLD,0.0,0.0
2013-05-06 17:20:00,GLD,0.0,1.33
2013-05-06 17:25:00,GLD,0.8,0.0
2013-05-06 18:55:00,GLD,0.0,1.88
2013-05-06 19:30:00,GLD,0.0,0.0
2013-05-06 20:10:00,GLD,0.0,3.2
2013-05-06 21:10:00,GLD,0.8,0.0
2013-05-06 21:35:00,GLD,2.54,0.0
2013-05-06 22:40:00,GLD,0.0,0.56
2013-05-06 23:00:00,GLD,0.0,1.1
2013-05-06 23:10:00,GLD,2.5,0.0
2013-05-06 23:20:00,GLD,0.11,0.0
2013-05-07 00:05:00,GLD,0.0,3.1
2013-05-07 00:10:00,GLD,0.8,0.56
2013-05-07 07:10:00,GLD,1.85,0.0
2013-05-07 07:40:00,GLD,0.0,1.8
2013-05-07 07:50:00,GLD,0.0,2.78
2013-05-07 08:10:00,GLD,0.0,0.5
2013-05-07 08:20:00,GLD,1.105,1.39
2013-05-07 08:25:00,GLD,0.0,2.91
2013-05-07 08:30:00,GLD,0.0,0.81
2013-05-07 08:35:00,GLD,0.265,0.95
2013-05-07 08:40:00,GLD,0.0,3.22
2013-05-07 08:45:00,GLD,0.905,0.65
2013-05-07 08:50:00,GLD,2.21,0.11
2013-05-07 09:00:00,GLD,2.38,0.0
2013-05-07 09:05:00,GLD,0.3,2.45
2013-05-07 09:10:00,GLD,0.03,0.78
2013-05-07 09:15:00,GLD,0.0,3.03
2013-05-07 09:20:00,GLD,0.0,2.447
2013-05-07 09:30:00,GLD,0.28,1.325
2013-05-07 09:35:00,GLD,0.0,1.56
2013-05-07 09:50:00,GLD,0.333,1.117
2013-05-07 09:55:00,GLD,0.0,1.335
2013-05-07 10:00:00,GLD,2.39,0.0
2013-05-07 10:10:00,GLD,0.0,3.0
2013-05-07 10:15:00,GLD,0.0,1.32
2013-05-07 10:20:00,GLD,0.0,2.67
2013-05-07 10:25:00,GLD,0.0,1.67
2013-05-07 10:30:00,GLD,0.755,2.39
2013-05-07 10:40:00,GLD,1.3,0.0
2013-05-07 10:50:00,GLD,0.61,1.033
2013-05-07 10:55:00,GLD,2.47,0.0
2013-05-07 11:00:00,GLD,2.36,2.8
2013-05-07 11:10:00,GLD,0.0,1.415
2013-05-07 11:45:00,GLD,1.32,0.0
2013-05-07 12:05:00,GLD,1.8,2.0
2013-05-07 12:10:00,GLD,2.11,0.0
2013-05-07 12:25:00,GLD,1.44,0.0
2013-05-07 12:30:00,GLD,2.12,0.0
2013-05-07 12:40:00,GLD,2.12,0.0
2013-05-07 12:50:00,GLD,0.16,0.0
2013-05-07 13:40:00,GLD,2.08,0.47
2013-05-07 13:50:00,GLD,0.0,1.68
2013-05-07 14:10:00,GLD,0.0,2.66
2013-05-07 14:20:00,GLD,0.0,2.31
2013-05-07 14:30:00,GLD,0.0,2.63
2013-05-07 14:40:00,GLD,0.0,2.45
2013-05-07 14:45:00,GLD,1.395,0.0
2013-05-07 14:50:00,GLD,0.0,0.55
2013-05-07 15:05:00,GLD,0.0,1.56
2013-05-07 15:30:00,GLD,0.0,1.74
2013-05-07 15:45:00,GLD,1.0,0.0
2013-05-07 16:30:00,GLD,0.78,0.0
2013-05-07 17:05:00,GLD,0.15,0.75
2013-05-07 17:30:00,GLD,0.0,1.5
2013-05-07 17:50:00,GLD,0.0,0.1
2013-05-07 18:20:00,GLD,0.0,1.3
2013-05-07 18:35:00,GLD,0.0,0.06
2013-05-07 19:10:00,GLD,1.53,0.0
2013-05-07 20:15:00,GLD,0.8,0.0
2013-05-07 20:20:00,GLD,0.8,0.0
2013-05-07 20:55:00,GLD,0.0,2.78
2013-05-07 21:00:00,GLD,0.0,2.78
2013-05-07 22:50:00,GLD,0.0,1.38
2013-05-08 07:50:00,GLD,0.0,0.11
2013-05-08 08:00:00,GLD,0.0,1.5
2013-05-08 08:05:00,GLD,0.71,0.0
2013-05-08 08:10:00,GLD,0.0,1.425
2013-05-08 08:20:00,GLD,0.0,3.33
2013-05-08 09:10:00,GLD,0.0,1.76
2013-05-08 09:55:00,GLD,1.64,1.15
2013-05-08 10:05:00,GLD,0.0,1.22
2013-05-08 10:45:00,GLD,0.0,2.55
2013-05-08 10:50:00,GLD,0.0,2.195
2013-05-08 11:05:00,GLD,0.0,1.35
2013-05-08 11:10:00,GLD,2.3,0.0
2013-05-08 11:15:00,GLD,0.0,3.0
2013-05-08 11:30:00,GLD,2.3,0.0
2013-05-08 11:35:00,GLD,0.0,1.03
2013-05-08 11:45:00,GLD,0.0,0.36
2013-05-08 12:00:00,GLD,1.87,0.0
2013-05-08 12:50:00,GLD,0.0,3.13
2013-05-08 12:55:00,GLD,1.3,0.0
2013-05-08 13:00:00,GLD,0.0,1.29
2013-05-08 13:10:00,GLD,0.0,1.44
2013-05-08 13:15:00,GLD,2.315,0.25
2013-05-08 13:20:00,GLD,2.35,0.0
2013-05-08 13:55:00,GLD,1.22,0.0
2013-05-08 14:30:00,GLD,1.64,0.0
2013-05-08 15:20:00,GLD,2.55,0.0
2013-05-08 15:45:00,GLD,0.42,0.0
2013-05-08 16:00:00,GLD,0.0,0.28
2013-05-08 16:20:00,GLD,1.9,0.0
2013-05-08 16:45:00,GLD,1.18,0.0
2013-05-08 17:35:00,GLD,2.17,0.0
2013-05-08 20:30:00,GLD,0.0,1.73
2013-05-08 20:40:00,GLD,2.2,0.0
2013-05-08 22:00:00,GLD,0.46,0.0
2013-05-08 22:05:00,GLD,0.0,1.5
2013-05-08 22:10:00,GLD,2.2,0.0
2013-05-08 22:40:00,GLD,1.95,0.0
2013-05-09 06:45:00,GLD,1.8,0.0
2013-05-09 07:40:00,GLD,0.0,0.7
2013-05-09 08:15:00,GLD,0.81,0.0
2013-05-09 08:40:00,GLD,2.03,0.0
2013-05-09 08:45:00,GLD,1.17,0.0
2013-05-09 09:00:00,GLD,1.035,1.11
2013-05-09 09:05:00,GLD,0.0,3.22
2013-05-09 09:10:00,GLD,1.825,0.0
2013-05-09 09:20:00,GLD,1.175,0.0
2013-05-09 09:25:00,GLD,0.04,0.0
2013-05-09 09:30:00,GLD,0.95,1.125
2013-05-09 09:40:00,GLD,1.8,0.0
2013-05-09 09:50:00,GLD,0.0,0.73
2013-05-09 10:10:00,GLD,1.3,0.0
2013-05-09 10:20:00,GLD,0.0,2.22
2013-05-09 10:40:00,GLD,2.2,0.0
2013-05-09 10:45:00,GLD,0.06,0.0
2013-05-09 11:25:00,GLD,2.0,0.0
2013-05-09 11:55:00,GLD,0.66,0.0
2013-05-09 12:20:00,GLD,0.0,2.3
2013-05-09 12:30:00,GLD,0.0,1.88
2013-05-09 13:00:00,GLD,2.14,0.0
2013-05-09 13:25:00,GLD,3.15,0.0
2013-05-09 14:10:00,GLD,0.67,0.0
2013-05-09 14:15:00,GLD,0.0,2.3
2013-05-09 14:30:00,GLD,2.26,0.0
2013-05-09 14:35:00,GLD,0.0,1.67
2013-05-09 14:50:00,GLD,0.0,2.43
2013-05-09 15:00:00,GLD,0.89,0.0
2013-05-09 15:05:00,GLD,0.9,2.55
2013-05-09 15:10:00,GLD,0.0,2.26
2013-05-09 15:15:00,GLD,1.56,0.0
2013-05-09 15:20:00,GLD,0.0,1.29
2013-05-09 16:00:00,GLD,1.855,0.0
2013-05-09 16:05:00,GLD,1.8,0.0
2013-05-09 16:30:00,GLD,0.0,2.43
2013-05-09 17:05:00,GLD,0.0,0.28
2013-05-09 18:20:00,GLD,0.0,2.11
2013-05-09 19:00:00,GLD,3.5,3.22
2013-05-09 19:05:00,GLD,0.0,0.28
2013-05-09 22:30:00,GLD,3.22,0.0
2013-05-10 00:05:00,GLD,0.0,0.15
2013-05-10 01:20:00,GLD,2.72,0.0
2013-05-10 06:20:00,GLD,1.61,0.0
2013-05-10 07:10:00,GLD,0.0,2.2
2013-05-10 07:15:00,GLD,0.0,1.69
2013-05-10 07:20:00,GLD,0.0,2.93
2013-05-10 07:30:00,GLD,0.0,1.9
2013-05-10 07:35:00,GLD,0.0,2.11
