DATE,SYMBOL,BULLISH,BEARISH
2013-05-03 01:10:00,TSLA,0.56,0.0
2013-05-03 02:00:00,TSLA,0.18,0.0
2013-05-03 08:40:00,TSLA,2.1,0.0
2013-05-03 09:10:00,TSLA,0.0,0.0
2013-05-03 09:20:00,TSLA,1.25,1.555
2013-05-03 09:45:00,TSLA,1.11,0.0
2013-05-03 09:50:00,TSLA,0.0,2.88
2013-05-03 09:55:00,TSLA,1.83,0.0
2013-05-03 10:00:00,TSLA,1.11,1.44
2013-05-03 10:10:00,TSLA,1.3,0.0
2013-05-03 10:15:00,TSLA,1.14,0.0
2013-05-03 10:40:00,TSLA,1.0,0.0
2013-05-03 11:00:00,TSLA,1.61,0.0
2013-05-03 11:30:00,TSLA,2.11,0.0
2013-05-03 11:50:00,TSLA,1.89,0.0
2013-05-03 12:05:00,TSLA,2.31,0.0
2013-05-03 12:20:00,TSLA,2.4,0.0
2013-05-03 12:40:00,TSLA,1.75,0.0
2013-05-03 12:50:00,TSLA,0.0,2.1
2013-05-03 13:10:00,TSLA,1.88,0.0
2013-05-03 13:20:00,TSLA,2.445,0.0
2013-05-03 13:30:00,TSLA,0.0,0.0
2013-05-03 13:35:00,TSLA,0.0,1.9
2013-05-03 13:40:00,TSLA,2.0,0.0
2013-05-03 13:50:00,TSLA,0.97,1.25
2013-05-03 13:55:00,TSLA,0.78,0.33
2013-05-03 14:00:00,TSLA,0.465,0.165
2013-05-03 14:15:00,TSLA,1.5,0.0
2013-05-03 14:20:00,TSLA,1.17,1.19
2013-05-03 14:25:00,TSLA,0.0,2.425
2013-05-03 14:30:00,TSLA,0.305,0.595
2013-05-03 14:50:00,TSLA,0.44,0.0
2013-05-03 15:00:00,TSLA,1.63,0.0
2013-05-03 15:10:00,TSLA,2.39,0.0
2013-05-03 15:15:00,TSLA,1.445,0.21
2013-05-03 15:20:00,TSLA,1.44,0.0
2013-05-03 15:25:00,TSLA,0.0,1.27
2013-05-03 15:40:00,TSLA,1.47,0.0
2013-05-03 15:50:00,TSLA,3.0,0.0
2013-05-03 15:55:00,TSLA,3.0,0.0
2013-05-03 16:00:00,TSLA,3.0,0.0
2013-05-03 17:10:00,TSLA,3.0,0.0
2013-05-03 18:05:00,TSLA,1.3,0.0
2013-05-04 07:00:00,TSLA,2.0,0.0
2013-05-04 08:00:00,TSLA,0.0,0.0
2013-05-04 08:10:00,TSLA,0.0,0.3
2013-05-04 09:00:00,TSLA,2.17,0.0
2013-05-04 09:20:00,TSLA,0.0,2.0
2013-05-04 14:00:00,TSLA,1.9,0.0
2013-05-04 17:40:00,TSLA,0.59,0.0
2013-05-05 08:50:00,TSLA,0.0,0.16
2013-05-05 11:55:00,TSLA,1.11,0.8
2013-05-05 12:10:00,TSLA,1.965,0.0
2013-05-06 08:15:00,TSLA,1.55,0.0
2013-05-06 08:25:00,TSLA,0.0,0.5
2013-05-06 09:05:00,TSLA,1.0,0.0
2013-05-06 09:35:00,TSLA,1.04,0.0
2013-05-06 09:45:00,TSLA,1.94,0.0
2013-05-06 10:00:00,TSLA,0.8,0.0
2013-05-06 10:10:00,TSLA,0.3,1.5
2013-05-06 10:20:00,TSLA,2.28,0.0
2013-05-06 10:25:00,TSLA,3.0,0.0
2013-05-06 10:30:00,TSLA,0.0,0.08
2013-05-06 10:35:00,TSLA,0.29,0.0
2013-05-06 11:10:00,TSLA,2.33,0.0
2013-05-06 11:15:00,TSLA,2.08,0.0
2013-05-06 11:30:00,TSLA,1.87,0.0
2013-05-06 11:45:00,TSLA,0.0,2.61
2013-05-06 12:40:00,TSLA,0.0,1.86
2013-05-06 12:45:00,TSLA,2.4,0.0
2013-05-06 12:50:00,TSLA,2.0,0.0
2013-05-06 13:05:00,TSLA,0.0,2.11
2013-05-06 13:30:00,TSLA,2.4,0.0
2013-05-06 13:45:00,TSLA,2.65,0.0
2013-05-06 13:50:00,TSLA,2.65,2.7
2013-05-06 15:05:00,TSLA,0.0,2.1
2013-05-06 15:20:00,TSLA,2.84,0.0
2013-05-06 15:30:00,TSLA,0.13,0.0
2013-05-06 15:35:00,TSLA,1.3,1.11
2013-05-06 15:40:00,TSLA,0.73,0.667
2013-05-06 15:45:00,TSLA,1.97,0.0
2013-05-06 15:50:00,TSLA,1.43,0.0
2013-05-06 15:55:00,TSLA,0.94,2.51
2013-05-06 16:00:00,TSLA,0.877,1.423
2013-05-06 16:05:00,TSLA,1.935,0.19
2013-05-06 16:10:00,TSLA,1.653,0.717
2013-05-06 16:15:00,TSLA,1.58,1.22
2013-05-06 16:20:00,TSLA,3.0,0.0
2013-05-06 16:25:00,TSLA,0.0,2.5
2013-05-06 16:40:00,TSLA,1.285,0.0
2013-05-06 16:50:00,TSLA,0.94,0.0
2013-05-06 16:55:00,TSLA,1.87,0.0
2013-05-06 17:00:00,TSLA,0.0,1.69
2013-05-06 17:10:00,TSLA,2.33,0.0
2013-05-06 17:20:00,TSLA,0.0,2.0
2013-05-06 20:00:00,TSLA,0.0,1.8
2013-05-06 22:30:00,TSLA,0.0,2.1
2013-05-06 22:50:00,TSLA,0.945,1.35
2013-05-06 23:15:00,TSLA,2.0,0.0
2013-05-06 23:55:00,TSLA,2.4,0.0
2013-05-07 00:50:00,TSLA,0.67,0.0
2013-05-07 01:30:00,TSLA,0.0,3.22
2013-05-07 06:55:00,TSLA,1.55,0.0
2013-05-07 07:10:00,TSLA,2.0,0.0
2013-05-07 07:30:00,TSLA,2.4,0.0
2013-05-07 07:35:00,TSLA,0.0,0.0
2013-05-07 07:40:00,TSLA,1.0,0.0
2013-05-07 08:00:00,TSLA,0.65,0.0
2013-05-07 08:20:00,TSLA,0.28,0.0
2013-05-07 08:25:00,TSLA,0.28,0.63
2013-05-07 08:30:00,TSLA,2.53,0.0
2013-05-07 08:35:00,TSLA,0.0,0.0
2013-05-07 08:45:00,TSLA,1.99,0.0
2013-05-07 08:50:00,TSLA,0.0,0.05
2013-05-07 08:55:00,TSLA,0.0,1.06
2013-05-07 09:00:00,TSLA,1.165,0.53
2013-05-07 09:05:00,TSLA,0.0,1.98
2013-05-07 09:10:00,TSLA,0.845,1.265
2013-05-07 09:15:00,TSLA,1.155,0.0
2013-05-07 09:20:00,TSLA,1.31,0.0
2013-05-07 09:25:00,TSLA,3.0,0.0
2013-05-07 09:30:00,TSLA,0.945,0.805
2013-05-07 09:35:00,TSLA,1.98,0.0
2013-05-07 09:45:00,TSLA,0.0,2.0
2013-05-07 09:50:00,TSLA,1.78,0.0
2013-05-07 09:55:00,TSLA,1.9,0.0
2013-05-07 10:00:00,TSLA,0.5,0.68
2013-05-07 10:05:00,TSLA,0.0,0.22
2013-05-07 10:10:00,TSLA,1.19,0.025
2013-05-07 10:15:00,TSLA,1.75,0.89
2013-05-07 10:20:00,TSLA,1.0,0.9
2013-05-07 10:25:00,TSLA,2.44,0.0
2013-05-07 10:30:00,TSLA,1.6,0.987
2013-05-07 10:35:00,TSLA,1.73,1.9
2013-05-07 10:40:00,TSLA,1.89,0.0
2013-05-07 10:50:00,TSLA,1.615,0.0
2013-05-07 11:00:00,TSLA,1.09,0.0
2013-05-07 11:10:00,TSLA,1.24,0.0
2013-05-07 11:15:00,TSLA,2.3,0.0
2013-05-07 11:20:00,TSLA,0.257,1.047
2013-05-07 11:25:00,TSLA,1.61,0.0
2013-05-07 11:30:00,TSLA,0.42,0.805
